Gene stable ID	Transcript stable ID	STRING ID
Vitvi12g02451	Vitvi12g02451_t001	
Vitvi16g00088	Vitvi16g00088_t001	
Vitvi11g04256	Vitvi11g04256_t001	
Vitvi10g01958	Vitvi10g01958_t001	
Vitvi08g01216	Vitvi08g01216_t002	
Vitvi08g01216	Vitvi08g01216_t001	29760.VIT_08s0007g00530.t01
Vitvi12g04519	Vitvi12g04519_t001	
Vitvi06g04341	Vitvi06g04341_t001	
Vitvi15g04009	Vitvi15g04009_t001	
Vitvi04g00289	Vitvi04g00289_t001	29760.VIT_04s0008g03270.t01
Vitvi11g00108	Vitvi11g00108_t001	29760.VIT_11s0016g01470.t01
Vitvi06g00049	Vitvi06g00049_t001	29760.VIT_06s0004g00460.t01
Vitvi18g00659	Vitvi18g00659_t001	29760.VIT_18s0001g09090.t01
Vitvi06g01093	Vitvi06g01093_t001	29760.VIT_06s0009g01960.t01
Vitvi08g00812	Vitvi08g00812_t001	29760.VIT_08s0058g00880.t01
Vitvi15g00301	Vitvi15g00301_t001	
Vitvi01g02298	Vitvi01g02298_t002	
Vitvi01g02298	Vitvi01g02298_t001	29760.VIT_01s0150g00050.t01
Vitvi14g00248	Vitvi14g00248_t001	29760.VIT_14s0128g00430.t01
Vitvi18g03265	Vitvi18g03265_t001	
Vitvi13g04413	Vitvi13g04413_t001	
Vitvi18g04636	Vitvi18g04636_t001	
Vitvi11g01513	Vitvi11g01513_t001	
Vitvi17g00607	Vitvi17g00607_t001	29760.VIT_17s0000g06270.t01
Vitvi09g04090	Vitvi09g04090_t001	
Vitvi16g00119	Vitvi16g00119_t001	29760.VIT_16s0039g01880.t01
Vitvi14g01466	Vitvi14g01466_t001	
Vitvi14g01466	Vitvi14g01466_t002	
Vitvi13g02574	Vitvi13g02574_t001	
Vitvi13g00367	Vitvi13g00367_t001	
Vitvi13g00367	Vitvi13g00367_t002	
Vitvi15g01648	Vitvi15g01648_t001	
Vitvi14g01847	Vitvi14g01847_t001	29760.VIT_14s0066g02200.t01
Vitvi10g00781	Vitvi10g00781_t001	
Vitvi04g04451	Vitvi04g04451_t001	
Vitvi13g00887	Vitvi13g00887_t001	29760.VIT_13s0106g00790.t01
Vitvi07g04618	Vitvi07g04618_t001	
Vitvi07g02243	Vitvi07g02243_t001	29760.VIT_07s0005g02070.t01
Vitvi01g04205	Vitvi01g04205_t001	
Vitvi07g00731	Vitvi07g00731_t001	
Vitvi12g02145	Vitvi12g02145_t002	
Vitvi12g02145	Vitvi12g02145_t001	
Vitvi05g00035	Vitvi05g00035_t001	29760.VIT_05s0077g02040.t01
Vitvi05g00035	Vitvi05g00035_t002	
Vitvi09g00844	Vitvi09g00844_t001	
Vitvi02g01716	Vitvi02g01716_t001	
Vitvi06g04237	Vitvi06g04237_t001	
Vitvi14g03051	Vitvi14g03051_t001	
Vitvi12g00097	Vitvi12g00097_t001	29760.VIT_12s0028g01120.t01
Vitvi03g00293	Vitvi03g00293_t001	
Vitvi10g01700	Vitvi10g01700_t001	
Vitvi19g01905	Vitvi19g01905_t001	
Vitvi05g01076	Vitvi05g01076_t001	29760.VIT_05s0029g00170.t01
Vitvi07g02071	Vitvi07g02071_t001	
Vitvi03g01249	Vitvi03g01249_t001	
Vitvi14g04015	Vitvi14g04015_t001	
Vitvi13g02050	Vitvi13g02050_t001	
Vitvi14g00052	Vitvi14g00052_t003	29760.VIT_14s0060g00590.t01
Vitvi14g00052	Vitvi14g00052_t001	29760.VIT_14s0060g00590.t01
Vitvi14g00052	Vitvi14g00052_t002	29760.VIT_14s0060g00590.t01
Vitvi01g04117	Vitvi01g04117_t001	
Vitvi18g01157	Vitvi18g01157_t001	
Vitvi17g00837	Vitvi17g00837_t002	29760.VIT_17s0000g08590.t01
Vitvi17g00837	Vitvi17g00837_t001	
Vitvi17g00837	Vitvi17g00837_t003	
Vitvi00g04413	Vitvi00g04413_t001	
Vitvi11g04047	Vitvi11g04047_t001	
Vitvi07g00126	Vitvi07g00126_t001	29760.VIT_07s0151g01030.t01
Vitvi18g01625	Vitvi18g01625_t001	
Vitvi18g01625	Vitvi18g01625_t002	
Vitvi04g04145	Vitvi04g04145_t001	
Vitvi07g01624	Vitvi07g01624_t001	29760.VIT_07s0129g00460.t01
Vitvi03g00781	Vitvi03g00781_t001	
Vitvi03g00781	Vitvi03g00781_t002	
Vitvi19g00691	Vitvi19g00691_t001	
Vitvi07g01787	Vitvi07g01787_t001	29760.VIT_07s0031g01090.t01
Vitvi13g01831	Vitvi13g01831_t001	29760.VIT_13s0156g00200.t01
Vitvi07g02136	Vitvi07g02136_t001	29760.VIT_07s0151g01120.t01
Vitvi15g00579	Vitvi15g00579_t001	29760.VIT_15s0021g01880.t01
Vitvi13g00680	Vitvi13g00680_t001	
Vitvi13g04665	Vitvi13g04665_t001	
Vitvi09g00790	Vitvi09g00790_t001	
Vitvi18g04408	Vitvi18g04408_t001	
Vitvi10g04081	Vitvi10g04081_t001	
Vitvi04g01349	Vitvi04g01349_t001	
Vitvi06g00966	Vitvi06g00966_t001	
Vitvi08g04304	Vitvi08g04304_t001	
Vitvi11g04068	Vitvi11g04068_t001	
Vitvi17g04305	Vitvi17g04305_t001	
Vitvi15g00169	Vitvi15g00169_t001	
Vitvi15g01512	Vitvi15g01512_t001	
Vitvi08g02252	Vitvi08g02252_t001	
Vitvi17g00630	Vitvi17g00630_t001	
Vitvi05g02025	Vitvi05g02025_t001	29760.VIT_05s0051g00850.t01
Vitvi19g00552	Vitvi19g00552_t001	29760.VIT_19s0090g01030.t01
Vitvi19g04515	Vitvi19g04515_t001	
Vitvi04g01484	Vitvi04g01484_t001	29760.VIT_04s0023g03690.t01
Vitvi02g00465	Vitvi02g00465_t001	29760.VIT_02s0025g05100.t01
Vitvi11g01434	Vitvi11g01434_t001	
Vitvi13g04534	Vitvi13g04534_t001	
Vitvi15g00709	Vitvi15g00709_t001	29760.VIT_15s0048g00560.t01
Vitvi18g04297	Vitvi18g04297_t001	
Vitvi18g02676	Vitvi18g02676_t001	
Vitvi17g00432	Vitvi17g00432_t001	
Vitvi06g01459	Vitvi06g01459_t001	
Vitvi05g01726	Vitvi05g01726_t001	
Vitvi07g02721	Vitvi07g02721_t001	
Vitvi11g00014	Vitvi11g00014_t001	
Vitvi16g04146	Vitvi16g04146_t001	
Vitvi17g01012	Vitvi17g01012_t001	29760.VIT_17s0000g10060.t01
Vitvi18g02524	Vitvi18g02524_t001	
Vitvi14g00397	Vitvi14g00397_t001	
Vitvi14g00397	Vitvi14g00397_t002	
Vitvi09g00224	Vitvi09g00224_t001	
Vitvi15g04677	Vitvi15g04677_t001	
Vitvi06g00594	Vitvi06g00594_t001	
Vitvi06g04401	Vitvi06g04401_t001	
Vitvi06g04016	Vitvi06g04016_t001	
Vitvi01g01646	Vitvi01g01646_t001	
Vitvi17g04371	Vitvi17g04371_t001	
Vitvi13g01733	Vitvi13g01733_t001	
Vitvi17g00079	Vitvi17g00079_t001	29760.VIT_17s0000g00960.t01
Vitvi08g01520	Vitvi08g01520_t003	
Vitvi08g01520	Vitvi08g01520_t002	
Vitvi08g01520	Vitvi08g01520_t001	
Vitvi10g00855	Vitvi10g00855_t001	
Vitvi12g00546	Vitvi12g00546_t001	
Vitvi15g04084	Vitvi15g04084_t001	
Vitvi08g04293	Vitvi08g04293_t001	29760.VIT_08s0007g02650.t01
Vitvi00g04659	Vitvi00g04659_t001	
Vitvi05g04258	Vitvi05g04258_t001	
Vitvi12g04315	Vitvi12g04315_t001	
Vitvi02g04194	Vitvi02g04194_t001	
Vitvi04g01190	Vitvi04g01190_t001	
Vitvi10g00553	Vitvi10g00553_t001	
Vitvi05g00106	Vitvi05g00106_t001	
Vitvi15g01129	Vitvi15g01129_t002	
Vitvi15g01129	Vitvi15g01129_t001	
Vitvi08g01373	Vitvi08g01373_t001	
Vitvi18g04482	Vitvi18g04482_t001	
Vitvi16g04233	Vitvi16g04233_t001	
Vitvi14g02608	Vitvi14g02608_t002	
Vitvi14g02608	Vitvi14g02608_t001	
Vitvi16g04162	Vitvi16g04162_t001	
Vitvi02g00093	Vitvi02g00093_t001	
Vitvi01g04271	Vitvi01g04271_t001	
Vitvi12g02250	Vitvi12g02250_t001	29760.VIT_12s0028g02140.t01
Vitvi01g01460	Vitvi01g01460_t001	29760.VIT_01s0010g01870.t01
Vitvi01g01662	Vitvi01g01662_t001	
Vitvi03g00304	Vitvi03g00304_t001	29760.VIT_03s0038g04570.t01
Vitvi05g00742	Vitvi05g00742_t001	29760.VIT_05s0049g01000.t01
Vitvi15g00183	Vitvi15g00183_t001	
Vitvi15g04325	Vitvi15g04325_t001	
Vitvi03g04170	Vitvi03g04170_t001	
Vitvi17g04151	Vitvi17g04151_t001	
Vitvi01g01391	Vitvi01g01391_t001	
Vitvi07g00664	Vitvi07g00664_t001	
Vitvi18g04680	Vitvi18g04680_t001	
Vitvi12g01984	Vitvi12g01984_t001	
Vitvi09g00455	Vitvi09g00455_t001	
Vitvi06g01613	Vitvi06g01613_t001	
